,DIA,HORA,ALT (m)
614,30,14:45,1.3
615,30,21:28,0.4
616,31,02:38,1.2
617,31,09:30,0.2
618,31,15:19,1.3
619,31,22:02,0.5
620,01,03:08,1.2
621,01,10:04,0.2
622,01,16:00,1.2
623,01,22:43,0.5
624,01,03:45,1.2
625,02,10:39,0.3
626,02,16:39,1.2
627,02,23:32,0.6
628,03,04:17,1.1
629,03,11:26,0.3
630,03,17:17,1.1
631,03,00:26,0.6
632,04,04:56,1.0
633,04,12:21,0.4
634,04,18:02,1.0
635,05,01:28,0.7
636,05,05:38,1.0
637,05,13:26,0.4
638,05,18:58,1.0
639,05,02:30,0.7
640,06,06:24,0.9
641,06,14:34,0.4
642,06,20:08,1.0
643,07,03:26,0.6
644,07,07:34,0.9
645,07,15:39,0.4
646,07,21:51,1.0
647,07,04:21,0.6
648,08,09:02,0.9
649,08,16:41,0.3
650,08,23:13,1.0
651,09,05:09,0.5
652,09,10:41,1.0
653,09,17:39,0.3
654,09,23:56,1.0
655,09,06:00,0.4
656,10,11:56,1.1
657,10,18:34,0.3
658,11,00:34,1.1
659,11,06:49,0.3
660,11,12:51,1.2
661,11,19:26,0.3
662,11,01:09,1.1
663,12,07:36,0.2
664,12,13:39,1.3
665,12,20:19,0.3
666,13,01:43,1.1
667,13,08:23,0.1
668,13,14:24,1.3
669,13,21:11,0.3
670,13,02:15,1.1
671,14,09:11,0.0
672,14,15:09,1.3
673,14,22:06,0.4
674,15,02:53,1.1
675,15,10:02,0.0
676,15,15:54,1.3
677,15,23:00,0.4
678,15,03:26,1.1
679,16,10:56,0.0
680,16,16:36,1.2
681,16,23:54,0.5
682,17,04:06,1.1
683,17,11:53,0.1
684,17,17:17,1.2
685,17,00:51,0.6
686,18,04:53,1.1
687,18,12:51,0.1
688,18,18:04,1.1
689,19,01:47,0.6
690,19,05:38,1.0
691,19,13:51,0.2
692,19,18:53,1.0
693,19,22:51,0.9
694,19,02:43,0.7
695,20,06:30,0.0
696,20,14:53,0.3
697,20,22:15,0.8
698,20,23:53,0.9
699,21,03:39,0.6
700,21,07:34,1.0
701,21,15:53,0.4
702,21,20:43,0.9
703,21,04:32,0.6
704,22,08:49,1.0
705,22,16:53,0.4
706,22,21:41,0.9
707,23,05:21,0.5
708,23,10:08,1.0
709,23,17:47,0.4
710,23,22:39,0.9
711,23,06:06,0.4
712,24,11:21,1.0
713,24,18:36,0.5
714,24,23:28,1.0
715,25,06:51,0.3
716,25,12:19,1.1
717,25,19:17,0.5
718,25,00:15,1.1
719,26,07:30,0.3
720,26,13:09,1.2
721,26,19:58,0.5
722,27,01:00,1.1
723,27,08:06,0.2
724,27,13:56,1.2
725,27,20:38,0.5
726,27,01:43,1.2
727,28,08:47,0.2
728,28,14:38,1.2
729,28,21:13,0.5
730,29,02:19,1.2
731,29,09:23,0.1
732,29,15:15,1.2
733,29,21:53,0.5
734,29,02:58,1.2
735,30,10:00,0.2
736,30,15:54,1.2
737,30,22:34,0.5
738,01,03:34,1.2
739,01,10:38,0.2
740,01,16:28,1.2
741,01,23:11,0.5
742,01,04:08,1.2
743,02,11:15,0.2
744,02,17:06,1.2
745,02,23:54,0.5
746,03,04:47,1.1
747,03,11:56,0.3
748,03,17:45,1.1
749,03,00:41,0.6
750,04,05:23,1.1
751,04,12:45,0.3
752,04,18:23,1.1
753,05,01:32,0.6
754,05,06:06,1.1
755,05,13:45,0.4
756,05,19:08,1.0
757,05,02:26,0.6
758,06,06:58,1.0
759,06,14:53,0.4
760,06,20:04,1.0
761,07,03:26,0.6
762,07,08:02,1.0
763,07,16:00,0.4
764,07,21:11,0.9
765,07,04:28,0.5
766,08,09:30,1.0
767,08,17:09,0.4
768,08,22:45,0.9
769,09,05:28,0.4
770,09,11:38,1.0
771,09,18:15,0.4
772,09,00:08,0.9
773,10,06:24,0.3
774,10,13:06,1.2
775,10,19:17,0.4
776,11,00:53,1.0
777,11,07:19,0.1
778,11,13:58,1.3
779,11,20:13,0.4
780,11,01:32,1.0
781,12,08:13,0.0
782,12,14:43,1.3
783,12,21:06,0.4
784,13,02:08,1.1
785,13,09:04,0.0
786,13,15:21,1.3
787,13,21:58,0.4
788,13,02:47,1.2
789,14,09:56,-0.1
790,14,15:56,1.3
791,14,22:45,0.4
792,15,03:21,1.2
793,15,10:47,0.0
794,15,16:28,1.3
795,15,23:32,0.5
796,15,04:00,1.2
797,16,11:36,0.0
798,16,17:02,1.2
799,17,00:15,0.5
800,17,04:43,1.2
801,17,12:24,0.1
802,17,17:36,1.1
803,17,01:00,0.6
804,18,05:23,1.2
805,18,13:15,0.2
806,18,18:09,1.0
807,19,01:51,0.6
808,19,06:06,1.1
809,19,14:08,0.4
810,19,18:51,1.0
811,19,22:54,0.7
812,19,00:00,0.7
813,20,02:41,0.6
814,20,07:00,0.1
815,20,19:32,0.9
816,20,23:32,0.7
817,21,00:58,0.7
818,21,03:38,0.6
819,21,07:58,1.0
820,21,16:08,0.6
821,21,20:19,0.9
822,21,04:38,0.5
823,22,09:11,0.9
824,22,17:09,0.6
825,22,21:23,0.9
826,23,05:36,0.5
827,23,10:56,0.9
828,23,18:09,0.6
829,23,22:43,0.9
830,23,06:26,0.4
831,24,12:24,1.0
832,24,19:00,0.6
833,24,23:54,1.0
834,25,07:11,0.3
835,25,13:19,1.1
836,25,19:45,0.5
837,25,00:49,1.1
838,26,07:56,0.2
839,26,14:00,1.2
840,26,20:23,0.5
841,27,01:34,1.1
842,27,08:34,0.1
843,27,14:38,1.2
844,27,21:00,0.4
845,27,02:11,1.2
846,28,09:09,0.1
847,28,15:09,1.3
848,28,21:36,0.4
849,29,02:51,1.2
850,29,09:45,0.1
851,29,15:43,1.3
852,29,22:08,0.4
853,29,03:23,1.3
854,30,10:17,0.1
855,30,16:11,1.3
856,30,22:43,0.4
857,31,03:56,1.3
858,31,10:51,0.1
859,31,16:45,1.2
860,31,23:15,0.4
861,01,04:28,1.2
862,01,11:28,0.2
863,01,17:13,1.2
864,01,23:49,0.5
865,01,05:04,1.2
866,02,12:08,0.3
867,02,17:49,1.1
868,03,00:32,0.5
869,03,05:45,1.2
870,03,13:04,0.4
871,03,18:21,1.0
872,03,01:30,0.5
873,04,06:26,1.1
874,04,14:15,0.4
875,04,19:02,1.0
876,05,02:43,0.5
877,05,07:19,1.0
878,05,15:41,0.5
879,05,19:54,0.9
880,05,03:58,0.5
881,06,08:43,1.0
882,06,16:58,0.5
883,06,21:04,0.8
884,07,05:06,0.4
885,07,13:08,1.0
886,07,18:09,0.5
887,07,00:41,0.8
888,08,06:11,0.3
889,08,13:51,1.2
890,08,19:13,0.4
891,09,01:11,0.9
892,09,07:11,0.1
893,09,14:24,1.3
894,09,20:06,0.4
895,09,01:36,1.0
896,10,08:04,0.0
897,10,14:51,1.3
898,10,20:56,0.4
899,11,02:04,1.1
900,11,08:56,-0.1
901,11,15:13,1.3
902,11,21:39,0.4
903,11,02:38,1.2
904,12,09:43,-0.1
905,12,15:36,1.3
906,12,22:17,0.4
907,13,03:09,1.3
908,13,10:26,-0.1
909,13,16:02,1.3
910,13,22:58,0.4
911,13,03:49,1.3
912,14,11:08,0.0
913,14,16:28,1.2
914,14,23:36,0.4
915,15,04:23,1.3
916,15,11:53,0.1
917,15,17:00,1.2
918,15,00:06,0.5
919,16,05:00,1.3
920,16,12:34,0.3
921,16,17:28,1.1
922,16,22:24,0.5
923,17,05:43,1.2
924,17,13:15,0.5
925,17,18:00,1.0
926,17,22:28,0.5
927,17,06:23,0.1
928,18,11:15,0.6
929,18,12:21,0.6
930,18,18:38,0.0
931,18,23:00,0.5
932,19,07:11,0.0
